,Compound_ID,Molecular_Weight,LogP,H_Bond_Acceptors,H_Bond_Donors,Status
427,Drug_428,216.45807121275837,6.160655279817043,4,0,Fail
428,Drug_429,653.4488705239605,4.547015469223485,0,4,Fail
429,Drug_430,301.0664196208085,1.2941962513781426,1,7,Fail
430,Drug_431,395.2274642986313,4.827134927465593,8,0,Pass
431,Drug_432,604.004623415744,6.844716466518093,0,5,Fail
432,Drug_433,484.5880647459635,0.6809714221076844,1,2,Pass
433,Drug_434,492.8308305403801,6.433876980441198,9,2,Fail
434,Drug_435,660.4636869373605,2.798943026485267,12,0,Fail
435,Drug_436,671.2854285915172,5.520954367520449,0,2,Fail
436,Drug_437,303.470832848525,4.496921369854146,3,7,Fail
437,Drug_438,225.46988876673225,2.8228433897330643,13,6,Fail
438,Drug_439,519.9846228956036,-0.4546624847505391,2,4,Fail
439,Drug_440,484.1290931343758,0.2867706991668433,0,4,Pass
440,Drug_441,209.6481164914988,6.891135509102985,6,5,Fail
441,Drug_442,395.6905443175451,5.895993542563389,1,0,Fail
442,Drug_443,227.49866638741997,6.552652426363798,2,2,Fail
443,Drug_444,506.6470390342456,0.5198377288695717,1,3,Fail
444,Drug_445,301.10444360534154,4.688369952492923,9,0,Pass
445,Drug_446,772.1100862822467,-0.594816753483415,1,5,Fail
446,Drug_447,775.8504616183376,1.8355988255093,14,7,Fail
447,Drug_448,616.2811711826555,3.870246270766555,2,3,Fail
448,Drug_449,784.6286102016974,5.692498265954448,4,3,Fail
449,Drug_450,634.0599447081253,-0.6867980032829131,10,2,Fail
450,Drug_451,356.5392538506392,2.8740266080508494,2,1,Pass
451,Drug_452,785.4279495006906,2.0189711516453013,13,5,Fail
452,Drug_453,799.2769208123052,2.4153443809990245,4,7,Fail
453,Drug_454,588.4970410300386,2.360382977369601,9,4,Fail
454,Drug_455,287.44747166292257,6.695098519701969,12,5,Fail
455,Drug_456,405.7347544763978,5.382341974582028,8,2,Fail
456,Drug_457,202.1791410824586,2.488276385349173,9,5,Pass
457,Drug_458,796.6126096733485,5.429046407521958,7,4,Fail
458,Drug_459,242.65420907346447,0.857636916776138,6,4,Pass
459,Drug_460,224.07874470796628,0.0880509848842496,14,1,Fail
460,Drug_461,631.0549588551303,2.9132811227448983,2,7,Fail
461,Drug_462,557.2290925602236,2.655550439102514,12,1,Fail
462,Drug_463,329.4031362838391,6.882649515890305,3,7,Fail
463,Drug_464,555.0017954752668,3.0790213636724104,0,1,Fail
464,Drug_465,216.06996148251017,3.4491346422426936,11,7,Fail
465,Drug_466,512.8354998039996,2.114657827724482,7,2,Fail
466,Drug_467,243.5080960387161,3.9814673139425274,11,4,Fail
467,Drug_468,665.4673942285058,2.487975644815161,1,7,Fail
468,Drug_469,287.02790742736244,4.359746836633027,4,5,Pass
469,Drug_470,336.5402841419382,6.27602476574572,12,6,Fail
470,Drug_471,305.84073257068883,3.8227631786632656,14,7,Fail
471,Drug_472,230.86940422112755,1.3454935187489738,1,6,Fail
472,Drug_473,404.1083349971339,5.041476171873759,13,6,Fail
473,Drug_474,220.52425264570343,-0.6701005024833071,10,5,Pass
474,Drug_475,361.5579244667764,5.527519049221417,5,4,Fail
475,Drug_476,284.9066417054726,-0.0413343209684553,3,6,Fail
476,Drug_477,686.4326778865943,0.2288234424741775,4,1,Fail
477,Drug_478,390.61129599321407,5.405579611931029,13,4,Fail
478,Drug_479,770.5613602518823,4.986626062183121,13,1,Fail
479,Drug_480,360.12786823411204,4.353106077262299,4,0,Pass
480,Drug_481,447.28263822151706,3.025634328372448,0,0,Pass
481,Drug_482,246.49537891190985,6.485945713572435,1,6,Fail
482,Drug_483,475.3960033824927,4.071933452725292,4,1,Pass
483,Drug_484,321.34905605352964,1.4094055460975232,10,5,Pass
484,Drug_485,704.6900092415628,0.4756620853908018,2,6,Fail
485,Drug_486,226.93977890261368,0.9233762199344824,4,1,Pass
486,Drug_487,661.1752366321136,0.4629780463010586,9,7,Fail
487,Drug_488,664.9773442380036,1.569714939336139,2,0,Fail
488,Drug_489,572.5801799405949,-0.1709174286668906,1,1,Fail
489,Drug_490,401.7482918297524,6.798546336945161,12,4,Fail
490,Drug_491,716.0532312331023,-0.9776522413020166,0,4,Fail
491,Drug_492,682.5886079675695,5.276561385812884,5,1,Fail
492,Drug_493,582.7798294072388,2.5913239394598024,2,4,Fail
493,Drug_494,504.5938995760899,5.397601876580598,14,7,Fail
494,Drug_495,343.060634663758,0.4728604820405175,7,2,Pass
495,Drug_496,701.9773429513357,0.7758707792736983,6,5,Fail
496,Drug_497,506.23804366128655,4.128834794925828,4,6,Fail
497,Drug_498,612.064247750884,-0.590525731745358,5,3,Fail
498,Drug_499,316.4221176691499,6.333809849925808,12,6,Fail
499,Drug_500,334.30696793153163,6.021767449718099,13,5,Fail
